TIME,S_MIN,S_MAX,S_MID,S_COUNT,S_VAR,T_MIN,T_MAX,T_MID,T_COUNT,T_VAR,SGR_MIN,SGR_MAX,SGR_MID,SGR_COUNT,SGR_VAR,SO
995,18.84 ,98.57 ,44.89 ,19,22.36 ,4.78 ,65.18 ,22.35 ,19,16.55 ,0.45 ,0.46 ,0.46 ,2,0.005,0.2339
996,20.08 ,115.39 ,49.65 ,22,28.64 ,3.79 ,80.46 ,27.10 ,22,21.82 ,0.44 ,0.60 ,0.49 ,34,0.0458,0.1921
997,22.83 ,120.11 ,46.22 ,22,28.03 ,2.92 ,83.51 ,24.47 ,22,21.40 ,0.45 ,0.57 ,0.49 ,6,0.0402,0
998,22.40 ,119.30 ,44.78 ,22,22.81 ,3.95 ,81.89 ,21.74 ,22,17.07 ,0.43 ,0.74 ,0.48 ,37,0.0632,0.099
999,22.20 ,115.49 ,49.12 ,16,25.53 ,3.01 ,77.42 ,24.51 ,16,19.35 ,0.43 ,0.53 ,0.48 ,5,0.0372,0.1255
1000,22.50 ,97.88 ,45.07 ,17,21.65 ,1.78 ,62.75 ,21.68 ,17,15.82 ,0.42 ,0.66 ,0.48 ,35,0.0619,0.2474
1006,23.79 ,107.84 ,45.05 ,22,21.62 ,3.39 ,72.61 ,20.32 ,22,17.00 ,0.40 ,0.58 ,0.48 ,14,0.0526,0.1329
1007,26.65 ,110.05 ,48.13 ,21,22.74 ,6.50 ,74.98 ,22.78 ,21,18.01 ,0.40 ,0.52 ,0.45 ,34,0.0336,0.252
1008,27.00 ,107.70 ,43.89 ,18,20.35 ,7.51 ,71.96 ,20.78 ,18,14.47 ,0.41 ,0.55 ,0.48 ,10,0.039,0.2492
1011,21.09 ,102.97 ,47.37 ,20,21.08 ,8.18 ,67.48 ,21.51 ,20,15.62 ,0.39 ,0.52 ,0.45 ,39,0.0374,0.2635
1012,24.76 ,107.68 ,47.02 ,22,20.98 ,8.55 ,72.50 ,20.73 ,22,16.86 ,0.41 ,0.52 ,0.46 ,11,0.0375,0.2427
1013,26.62 ,104.76 ,47.34 ,19,21.99 ,8.43 ,69.55 ,22.39 ,19,16.56 ,0.31 ,0.53 ,0.45 ,39,0.0476,0.181
1014,24.67 ,93.53 ,46.92 ,22,18.46 ,8.27 ,57.99 ,21.26 ,22,12.73 ,0.40 ,0.51 ,0.46 ,10,0.0418,0.1597
1015,20.94 ,88.79 ,47.62 ,21,19.30 ,8.49 ,53.64 ,21.26 ,21,13.35 ,0.38 ,0.54 ,0.45 ,41,0.0497,0.3096
1016,21.82 ,103.05 ,49.24 ,22,20.03 ,9.67 ,67.87 ,21.51 ,22,15.58 ,0.36 ,0.51 ,0.46 ,12,0.0433,0.2406
1017,23.64 ,107.46 ,49.77 ,20,22.36 ,9.70 ,72.44 ,22.58 ,20,17.70 ,0.36 ,0.54 ,0.46 ,43,0.0562,0
1018,27.61 ,103.52 ,44.95 ,20,15.89 ,9.97 ,68.35 ,18.89 ,20,12.15 ,0.35 ,0.52 ,0.45 ,11,0.0461,0
1019,31.30 ,96.94 ,49.26 ,22,16.74 ,10.30 ,61.65 ,22.01 ,22,12.96 ,0.37 ,0.54 ,0.46 ,44,0.0547,0.2862
1020,30.05 ,82.93 ,49.46 ,22,16.94 ,10.47 ,49.00 ,21.81 ,22,12.49 ,0.40 ,0.53 ,0.45 ,11,0.0375,0.2693
1021,26.80 ,96.20 ,48.95 ,20,17.61 ,11.84 ,61.83 ,20.79 ,20,13.87 ,0.36 ,0.54 ,0.47 ,43,0.0513,0.2423
1022,28.07 ,107.79 ,54.27 ,15,23.10 ,10.77 ,72.97 ,25.27 ,15,19.16 ,0.39 ,0.54 ,0.45 ,14,0.0419,0.1836
1023,31.98 ,108.51 ,49.99 ,22,19.88 ,10.55 ,73.36 ,21.63 ,22,16.64 ,0.22 ,0.55 ,0.48 ,43,0.0634,0.1539
1024,33.76 ,97.73 ,49.56 ,23,16.01 ,11.46 ,62.16 ,21.27 ,23,12.74 ,0.37 ,0.56 ,0.48 ,12,0.0646,0.1519
1025,36.86 ,80.64 ,48.84 ,23,11.93 ,10.59 ,46.22 ,20.97 ,23,9.97 ,0.38 ,0.56 ,0.49 ,46,0.0582,0.1499
1026,38.32 ,90.83 ,53.73 ,16,16.46 ,12.08 ,57.69 ,25.01 ,16,13.53 ,0.39 ,0.57 ,0.48 ,15,0.0684,0.1029
1027,35.64 ,103.72 ,51.64 ,23,17.16 ,10.81 ,69.29 ,22.19 ,23,14.80 ,0.41 ,0.68 ,0.50 ,43,0.0561,0.0875
1028,38.26 ,109.36 ,54.12 ,21,19.06 ,11.26 ,73.78 ,23.85 ,21,16.96 ,0.42 ,0.56 ,0.50 ,17,0.0595,0.1585
1029,30.33 ,105.82 ,51.07 ,24,17.69 ,9.07 ,69.76 ,21.72 ,24,14.71 ,0.39 ,0.56 ,0.49 ,38,0.0512,0
1030,31.11 ,89.62 ,51.03 ,21,14.84 ,10.27 ,53.92 ,22.31 ,21,11.86 ,0.37 ,0.57 ,0.49 ,19,0.0644,0
1031,43.07 ,88.34 ,53.40 ,20,12.60 ,11.92 ,55.96 ,23.97 ,20,11.72 ,0.35 ,0.55 ,0.49 ,36,0.0532,0
1032,41.53 ,104.36 ,57.39 ,22,18.23 ,10.39 ,69.92 ,26.87 ,22,16.80 ,0.34 ,0.57 ,0.51 ,21,0.0645,0
1033,42.13 ,108.18 ,55.21 ,24,17.16 ,10.91 ,72.59 ,23.94 ,24,15.67 ,0.32 ,0.56 ,0.48 ,36,0.0653,0
1036,31.55 ,84.06 ,53.19 ,25,12.68 ,9.62 ,51.70 ,22.77 ,25,10.88 ,0.41 ,0.58 ,0.52 ,24,0.0641,0.202
1037,41.97 ,101.17 ,57.64 ,22,16.70 ,10.58 ,67.41 ,26.92 ,22,16.04 ,0.32 ,0.61 ,0.51 ,33,0.0652,0.2262
1038,44.31 ,105.15 ,57.72 ,21,16.27 ,13.29 ,69.49 ,25.62 ,21,15.39 ,0.41 ,0.65 ,0.54 ,22,0.071,0.1232
1039,42.50 ,103.64 ,56.93 ,20,15.63 ,10.89 ,67.43 ,24.92 ,20,14.31 ,0.42 ,0.68 ,0.53 ,34,0.0717,0
1040,34.88 ,91.69 ,54.31 ,20,10.92 ,7.49 ,55.53 ,22.49 ,20,9.95 ,0.42 ,0.72 ,0.55 ,25,0.0725,0.2124
1041,32.70 ,84.16 ,53.70 ,24,13.03 ,5.98 ,48.53 ,22.18 ,24,11.57 ,0.43 ,0.71 ,0.53 ,32,0.0766,0
1042,35.10 ,99.22 ,57.11 ,24,16.06 ,8.93 ,65.79 ,25.67 ,24,15.04 ,0.46 ,0.70 ,0.55 ,26,0.0568,0
1043,46.10 ,102.21 ,58.75 ,23,14.22 ,13.88 ,67.79 ,26.33 ,23,13.88 ,0.46 ,0.72 ,0.54 ,26,0.0711,0.2571
1044,43.98 ,100.49 ,59.91 ,18,14.73 ,11.00 ,64.49 ,26.92 ,18,13.83 ,0.47 ,0.64 ,0.55 ,32,0.04,0.1918
1045,45.80 ,91.58 ,58.28 ,22,11.22 ,11.88 ,55.03 ,25.09 ,22,10.45 ,0.48 ,0.67 ,0.54 ,26,0.0405,0.1858
1053,45.70 ,100.90 ,62.06 ,19,14.55 ,14.03 ,65.28 ,28.87 ,19,13.85 ,0.50 ,0.67 ,0.56 ,28,0.0411,0.0048
1054,45.83 ,101.12 ,59.35 ,22,13.82 ,13.90 ,64.59 ,26.43 ,22,12.85 ,0.51 ,0.60 ,0.57 ,30,0.0306,0
1055,48.35 ,90.47 ,61.18 ,25,9.44 ,14.51 ,52.90 ,27.74 ,25,8.84 ,0.43 ,0.60 ,0.53 ,29,0.0381,0
1057,45.65 ,85.12 ,63.42 ,20,10.04 ,17.21 ,50.73 ,30.02 ,20,9.18 ,0.42 ,0.60 ,0.54 ,27,0.0357,0
1060,48.08 ,96.20 ,61.49 ,24,11.65 ,14.38 ,57.67 ,28.44 ,24,10.30 ,0.51 ,0.64 ,0.59 ,31,0.0428,0
1061,47.52 ,80.60 ,61.86 ,24,8.99 ,14.88 ,43.15 ,28.67 ,24,8.66 ,0.50 ,0.64 ,0.54 ,29,0.03,0
1062,49.35 ,90.18 ,66.52 ,19,9.58 ,19.44 ,55.09 ,32.63 ,19,9.23 ,0.51 ,0.65 ,0.59 ,28,0.0419,0
1063,41.71 ,97.15 ,63.07 ,25,11.75 ,15.15 ,60.99 ,29.87 ,25,10.52 ,0.50 ,0.63 ,0.54 ,30,0.0288,0
1068,49.58 ,99.50 ,66.46 ,23,12.12 ,17.15 ,63.13 ,32.64 ,23,11.52 ,0.51 ,0.71 ,0.61 ,29,0.0541,0.0402
1069,43.88 ,105.16 ,65.84 ,24,14.64 ,18.33 ,67.28 ,32.43 ,24,12.95 ,0.50 ,0.69 ,0.56 ,29,0.0421,0.3853
1070,53.45 ,103.62 ,66.93 ,22,13.30 ,17.91 ,65.21 ,33.15 ,22,12.00 ,0.50 ,0.69 ,0.60 ,32,0.0544,0.527
1083,45.30 ,85.10 ,61.69 ,25,10.63 ,20.17 ,52.08 ,28.99 ,25,7.56 ,0.44 ,0.64 ,0.52 ,27,0.0797,0.125
1084,42.64 ,85.99 ,62.87 ,28,12.08 ,21.53 ,52.39 ,30.50 ,28,8.55 ,0.44 ,0.63 ,0.55 ,29,0.0686,0.049
